year,region_name,allocation_amount,households_served,avg_benefit,funding_utilization,compliance_score
2020,Jefferson County,114496.16060620075,2407,47.56799360457032,0.9425433025883577,0.8928435069805893
2021,Jefferson County,130982.7787549286,2697,48.56610261584301,0.9569513620743145,0.8303716363808081
2022,Jefferson County,117639.44229733755,2775,42.392591818860375,0.8391287477655078,0.9364198100403116
2023,Jefferson County,130088.26255602333,2815,46.21252666288573,0.9202177663844139,0.8490344800427182
2024,Jefferson County,126743.44612808332,3159,40.121382123483166,0.858766259543507,0.8505458277061306
2025,Jefferson County,128826.3707909461,3064,42.0451601798127,0.8201330370544485,0.8244354140326532
2020,Madison County,211021.6918205217,828,254.85711572526773,0.9046988746943565,0.9133661087636837
2021,Madison County,225981.37956413737,773,292.3433112084571,0.9485873492548318,0.9314748273143914
2022,Madison County,252255.86967833815,822,306.8806200466401,0.9614924056033058,0.8178397673071041
2023,Madison County,275827.8000429362,938,294.0594883186953,0.8481023756269943,0.9162336249087505
2024,Madison County,276886.5542679237,947,292.38284505588564,0.8315710203601143,0.8276140031044404
2025,Madison County,254013.29855223253,965,263.22621611630314,0.9024841845355638,0.9683924556255273
2020,Marshall County,134360.73579588803,1130,118.9033060140602,0.9136420231412862,0.8786207196479764
2021,Marshall County,150482.51180820807,1156,130.1751832250935,0.9204474267463785,0.8383277208983237
2022,Marshall County,138087.57984848472,1313,105.16952006739126,0.8048295820535633,0.8867015580083514
2023,Marshall County,147785.42281721652,1222,120.93733454764036,0.9210406008750551,0.923308181105502
2024,Marshall County,161517.91841755187,1272,126.97949561128291,0.8645258196202693,0.8687302200684354
2025,Marshall County,144707.11629772995,1490,97.11886999847648,0.8926164531742649,0.9195610868370168
2020,Mobile County,184671.24593912915,2915,63.35205692594482,0.9082009140636875,0.9175842862751091
2021,Mobile County,199053.21678892456,2715,73.31610194803851,0.8167453286528042,0.821957854973746
2022,Mobile County,206336.67863935116,2909,70.93044985883505,0.8954014707760588,0.8371958652560373
2023,Mobile County,229490.91975846427,2976,77.11388432744096,0.9675256065113409,0.8972685159057051
2024,Mobile County,225937.86137405323,3380,66.8455211165838,0.8534278828480211,0.8873345184732042
2025,Mobile County,205599.4299196692,3569,57.60701314644696,0.9317506790923656,0.8144407894311008
