region_id,region_name,total_population,low_income_population,poverty_rate,median_income,unemployment_rate,avg_monthly_bill,energy_burden_pct,seniors_65_plus,disabled_population,children_under_18,households_served,avg_benefit,total_benefits,compliance_score,utilization_rate,application_timeliness,income_score,energy_burden_score,poverty_score,utilization_score,vulnerable_score,need_score,performance_score,composite_score,final_allocation,allocation_per_household,allocation_per_capita,allocation_per_low_income,expected_households_served,utilization_projection,allocation_rank,allocation_share,population_share,low_income_share
REG_001,Jefferson County,513022,73960,0.121788662,48239,0.046008543,125.2819014,0.182487985,92063,66736,126125,3171,455.2600569,1443629.641,0.97776547,0.915738867,0.938272843,0.250407407,0.427033272,0.154772823,0.915738867,0.55538359,0.249435578,0.235137377,0.245146117,138916.1332,43.80830438,0.27078007,1.878260319,305.1357814,0.004125687,11,0.020428843,0,0
REG_002,Madison County,166122,37235,0.145069285,28450,0.149898422,101.2700058,0.283581458,33638,19512,35212,959,388.0008709,372092.8352,0.95518571,0.878367158,0.904946851,0.983333333,0.848256077,0.240997351,0.878367158,0.531910283,0.575105141,0.227273645,0.470755692,266761.5588,278.1663804,1.605817163,7.164269069,687.5282475,0.01846457,2,0.039229641,0.323810675,0.50344781
REG_003,Marshall County,428873,60985,0.194817161,41844,0.079492824,113.9577481,0.132630807,71256,36361,93217,1386,420.6783538,583060.1984,0.891218886,0.870306115,0.906626531,0.487259259,0.219295028,0.425248745,0.870306115,0.468283151,0.29606723,0.219667806,0.273147403,154783.5282,111.6764273,0.360907607,2.538059002,367.9379431,0.006033253,10,0.022762284,0.631490523,0.54845092
REG_004,Mobile County,108605,29963,0.281664493,37591,0.097681488,117.0709142,0.197124291,13854,11867,26681,3426,288.2350527,987493.2907,0.898034584,0.863080272,0.905339345,0.644777778,0.488017879,0.746905529,0.863080272,0.482500806,0.481105954,0.219265499,0.402553818,228113.8301,66.58313778,2.100398969,7.613183929,791.4159915,0.026413109,5,0.033546151,0.098017449,0.174021373
REG_005,Montgomery County,353555,82900,0.208791158,29726,0.083679933,135.2878466,0.272820342,72789,36056,64583,3509,325.2133341,1141173.589,0.934544786,0.8996647,0.943755211,0.936074074,0.803418091,0.477004291,0.8996647,0.490526226,0.594971115,0.228404184,0.485001036,274833.9203,78.32257631,0.777344176,3.315246324,845.0881051,0.010194066,1,0.040416753,0.290603819,0.410105717
REG_006,Morgan County,346153,89282,0.270556267,33578,0.123040948,124.8364606,0.231131203,58161,35814,65050,4166,343.3176848,1430261.475,0.920991213,0.772545866,0.880597221,0.793407407,0.629713346,0.705763953,0.772545866,0.459406679,0.55138898,0.207981001,0.448366587,254074.399,60.98761379,0.733994503,2.845751652,740.056252,0.008288975,3,0.037363882,0.220454764,0.313222917
REG_007,Shelby County,194272,31164,0.143681258,45106,0.126534071,160.4964068,0.133582344,36409,24586,46884,1437,470.0816243,675507.2942,0.83269534,0.943504379,0.945413372,0.366444444,0.223259767,0.235856513,0.943504379,0.555298756,0.233525282,0.224795191,0.230906254,130846.8774,91.05558625,0.673524118,4.198654776,278.349271,0.008931757,12,0.019242188,0.101377111,0.083253857
REG_008,Talladega County,610144,117580,0.283311983,38666,0.076120185,149.6374628,0.168595362,90658,87731,162257,1637,387.6849654,634640.2883,0.965954079,0.930847999,0.911722391,0.604962963,0.369147343,0.753007344,0.930847999,0.558304269,0.440501626,0.236222608,0.37921792,214890.1549,131.2707116,0.352195801,1.827608053,554.2906588,0.004714158,6,0.031601493,0.289085294,0.289970875
REG_009,Tuscaloosa County,270873,41784,0.295275433,39605,0.125019558,130.0166482,0.234181437,56961,26244,53374,3910,362.5493688,1417568.032,0.933812666,0.937432644,0.909834168,0.570185185,0.642422656,0.797316418,0.937432644,0.504217844,0.519947269,0.233996163,0.434161937,246025.0977,62.92201988,0.908267335,5.888021677,678.5975068,0.016240607,4,0.036180161,0.099558356,0.079882386
REG_010,Baldwin County,105774,29189,0.256182395,54319,0.152889641,103.892939,0.309307077,16121,13626,20713,3670,358.9775805,1317447.721,0.848731987,0.764515183,0.964483183,0.025222222,0.955446155,0.652527388,0.764515183,0.477054853,0.447297622,0.199550476,0.372973479,211351.6379,57.58900215,1.998143569,7.240797488,588.7599932,0.020170612,7,0.031081123,0.035356775,0.051675392
REG_011,Etowah County,336674,56276,0.209227064,39124,0.173267096,118.35143,0.102237031,69772,40965,70774,2125,348.9016872,741416.0852,0.952398476,0.908278118,0.966204651,0.588,0.092654296,0.478618756,0.908278118,0.539129841,0.297476532,0.231481565,0.277678042,157350.8904,74.04747784,0.467368702,2.796056763,450.9891932,0.008013881,9,0.023139837,0.108695926,0.094734042
REG_012,Calhoun County,417591,105705,0.101477279,40861,0.107626387,114.2869232,0.218954592,88195,42985,101182,2485,447.0039828,1110804.897,0.840804074,0.888020101,0.910784547,0.523666667,0.578977468,0.079545476,0.888020101,0.556434406,0.348340723,0.217283422,0.309023533,175113.3351,70.46814289,0.419341737,1.656623008,391.748937,0.003706059,8,0.025751961,0.121602461,0.162543556
